INSTNM,ZIP,ZIP5,lat,lon
National Louis University,60603,60603,41.8798,-87.6285
National University of Health Sciences,60148-4583,60148,41.8721,-88.016
Cosmetology Concepts Niles,60714,60714,42.0312,-87.8112
North Central College,60540,60540,41.7662,-88.141
North Park University,60625-4895,60625,41.9703,-87.7042
Northern Baptist Theological Seminary,60532-1348,60532,41.7862,-88.0879
Northern Illinois University,60115-2828,60115,41.9008,-88.7548
Northwestern College-Chicago Campus,60630,60630,41.9699,-87.7603
Northwestern University,60208,60208,42.0586,-87.6845
Northeastern Illinois University,60625-4699,60625,41.9703,-87.7042
Oakton College,60016-1268,60016,42.0467,-87.8859
Oehrlein School of Cosmetology,61611,61611,40.6731,-89.5514
Olivet Nazarene University,60914-2271,60914,41.1661,-87.879
Parkland College,61821-1899,61821,40.1073,-88.2788
Pivot Point Academy-Evanston,60201,60201,42.0546,-87.6943
Prairie State College,60411-8226,60411,41.5087,-87.5904
Principia College,62028-9799,62028,38.9594,-90.3541
Professional's Choice Hair Design Academy,60435,60435,41.5454,-88.1299
Quincy University,62301-2699,62301,39.9307,-91.3763
Vatterott College-Quincy,62305,62305,39.9601,-91.3026
The Illinois Institute of Art-Chicago,60654-1593,60654,41.8923,-87.6373
Rend Lake College,62846,62846,38.1527,-88.8894
Richland Community College,62521-8513,62521,39.8395,-88.9465
Robert Morris University Illinois,60605,60605,41.8713,-87.6277
Rock Valley College,61114-5699,61114,42.3185,-88.9972
Madison Media Institute-Rockford Career College,61108,61108,42.2514,-89.0235
Rockford University,61108-2311,61108,42.2514,-89.0235
Roosevelt University,60605-1394,60605,41.8713,-87.6277
Dominican University,60305,60305,41.8951,-87.8159
Rush University,60612,60612,41.8805,-87.6873
Saint Francis Medical Center College of Nursing,61603-3783,61603,40.7132,-89.577
University of St Francis,60435-6188,60435,41.5454,-88.1299
St. John's College-Department of Nursing,62702,62702,39.8317,-89.6465
Saint Xavier University,60655,60655,41.6948,-87.7038
University of Illinois Springfield,62703-5407,62703,39.7622,-89.6275
Sauk Valley Community College,61021-9112,61021,41.8478,-89.4893
Bexley Hall Seabury Western Theological Seminary Federation,60631,60631,41.9951,-87.8082
Shawnee Community College,62992,62992,37.277,-89.1834
Shimer College,60616,60616,41.8426,-87.6306
St. Augustine College,60640-3501,60640,41.9719,-87.6624
University of Saint Mary of the Lake,60060-1174,60060,42.2636,-88.0048
Advocate Trinity Hospital School of Radiologic Technology,60617-9984,60617,41.7257,-87.556
Southeastern Illinois College,62946,62946,37.7257,-88.544
National Latino Education Institute,60609-2205,60609,41.8097,-87.6533
Sparks College,62565,62565,39.458,-88.8058
Spertus College,60605,60605,41.8713,-87.6277
Spoon River College,61520-8622,61520,40.5601,-90.0242
Springfield College in Illinois,62702-2694,62702,39.8317,-89.6465
Saint Anthony College of Nursing,61114,61114,42.3185,-88.9972
Educators of Beauty College of Cosmetology-Sterling,61081-3611,61081,41.8055,-89.7054
Southern Illinois University-Carbondale,62901-4512,62901,37.72,-89.2158
Southern Illinois University-Edwardsville,62026-1259,62026,38.8114,-89.9532
Taylor Business Institute,60601,60601,41.8858,-87.6181
Telshe Yeshiva-Chicago,60625,60625,41.9703,-87.7042
South Suburban College,60473-1200,60473,41.5979,-87.5938
Tri-County Beauty Academy,62056,62056,39.1793,-89.6499
Trinity Christian College,60463-0929,60463,41.6621,-87.7927
Trinity International University-Illinois,60015-1283,60015,42.1705,-87.859
Triton College,60171-1995,60171,41.9279,-87.8387
University of Spa & Cosmetology Arts,62704,62704,39.7725,-89.6889
VanderCook College of Music,60616-3731,60616,41.8426,-87.6306
Waubonsee Community College,60554-9454,60554,41.7741,-88.4397
Oak Point University,60523,60523,41.8371,-87.9638
Western Illinois University,61455,61455,40.4617,-90.6787
Wheaton College,60187-5593,60187,41.8724,-88.1123
William Rainey Harper College,60067-7398,60067,42.1139,-88.0429
Ancilla College,46513-0001,46513,41.3619,-86.4443
Anderson University,46012-3495,46012,40.1309,-85.6536
Apex Academy of Hair Design Inc,46016-1158,46016,40.0988,-85.6846
Ball State University,47306,47306,40.2023,-85.4082
Bethel University,46545-5591,46545,41.6835,-86.1682
Butler University,46208,46208,39.8299,-86.1794
Calumet College of Saint Joseph,46394,46394,41.6787,-87.5005
Christian Theological Seminary,46208-3301,46208,39.8299,-86.1794
College of Court Reporting Inc,46385,46385,41.4706,-87.0783
Concordia Theological Seminary,46825-4996,46825,41.1465,-85.1232
Tricoci University of Beauty Culture-Highland,46322,46322,41.55,-87.4569
DePauw University,46135-1772,46135,39.6495,-86.8686
Don Roberts School of Hair Design,46375,46375,41.4922,-87.4605
Don Roberts Beauty School,46385,46385,41.4706,-87.0783
Earlham College,47374-4095,47374,39.8324,-84.8936
Evansville Tri-State Beauty College,47715-3236,47715,37.9678,-87.4855
University of Evansville,47722,47722,37.9702,-87.542
Taylor University Fort Wayne,46807-2197,46807,41.0491,-85.1462
Franklin College,46131-2623,46131,39.4854,-86.0608
Good Samaritan Hospital School of Radiologic Technology,47591,47591,38.6734,-87.5098
Goshen College,46526-4794,46526,41.5848,-85.8581
Grace College and Theological Seminary,46590-1274,46590,41.211,-85.8305
Hair Fashions By Kaye Beauty College-Noblesville,46060-0000,46060,40.0563,-86.0163
Hair Fashions By Kaye Beauty College-Indianapolis,46250,46250,39.9048,-86.0673
Hanover College,47243,47243,38.7138,-85.4763
J Michael Harrold Beauty Academy,47807,47807,39.471,-87.4009
Holy Cross College,46556-0308,46556,41.7002,-86.2379
PJ's College of Cosmetology-Clarksville,47129,47129,38.311,-85.7645
Huntington University,46750,46750,40.8811,-85.5054
Ivy Tech Community College-Northcentral,46601-3415,46601,41.6727,-86.2535
Ivy Tech Community College,46208-5752,46208,39.8299,-86.1794
Ivy Tech Community College-Columbus,47203-1868,47203,39.2301,-85.8855
Ivy Tech Community College-East Central,47302-9448,47302,40.1684,-85.3807
Ivy Tech Community College-Kokomo,46901-1373,46901,40.4988,-86.1453
Ivy Tech Community College-Lafayette,47905,47905,40.4001,-86.8602
Ivy Tech Community College-Northeast,46805-1489,46805,41.0977,-85.1189
Ivy Tech Community College-South Central,47172-1897,47172,38.4046,-85.788
Ivy Tech Community College-Southwest,47710-3398,47710,38.0086,-87.5746
Ivy Tech Community College-Wabash Valley,47802-4898,47802,39.407,-87.402
Ivy Tech Community College-Richmond,47374-1298,47374,39.8324,-84.8936
Ivy Tech Community College-Northwest,46409-1499,46409,41.5412,-87.3271
Ivy Tech Community College-Southeast,47250-1881,47250,38.7649,-85.407
Purdue University Fort Wayne,46805-1499,46805,41.0977,-85.1189
Indiana University-Indianapolis,46202-5143,46202,39.7851,-86.1595
Harrison College-Anderson,46013,46013,40.0619,-85.6801
Harrison College-Indianapolis,46204-2611,46204,39.772,-86.1535
Harrison College-Marion,46952-2338,46952,40.5743,-85.6741
Harrison College-Columbus,47203-1843,47203,39.2301,-85.8855
Harrison College-Muncie,47303,47303,40.218,-85.379
Harrison College-Terre Haute,47803,47803,39.4657,-87.354
Harrison College-Lafayette,47905,47905,40.4001,-86.8602
University of Indianapolis,46227-3697,46227,39.6789,-86.1302
Indiana Institute of Technology,46803-1228,46803,41.0695,-85.1074
University of Southern Indiana,47712,47712,37.929,-87.6604
Indiana State University,47809,47809,39.471,-87.4111
Indiana University-Kokomo,46902-9003,46902,40.4509,-86.1352
Indiana University-South Bend,46615-7111,46615,41.6741,-86.2104
Indiana University-Bloomington,47405-7000,47405,39.1682,-86.5186
Indiana University-Northwest,46408-1197,46408,41.5422,-87.3588
Indiana University-Southeast,47150,47150,38.3089,-85.8221
Indiana University-East,47374-1289,47374,39.8324,-84.8936
International Business College-Fort Wayne,46804-7145,46804,41.0508,-85.256
International Business College-Indianapolis,46256-3954,46256,39.8977,-86.0094
ITT Technical Institute-Nashville,37214-3717,37214,36.1633,-86.6609
ITT Technical Institute-Fort Wayne,46825,46825,41.1465,-85.1232
ITT Technical Institute-Indianapolis,46268-1119,46268,39.8682,-86.2123
J Everett Light Career Center,46240,46240,39.9069,-86.1238
Taylor Institute of Cosmetology II,46534,46534,41.2809,-86.6082
Tricoci University of Beauty Culture-Lafayette,47901,47901,40.4177,-86.8884
Brown Mackie College-Merrillville,46410,46410,41.4957,-87.3509
Brown Mackie College-Michigan City,46360-7362,46360,41.698,-86.8699
Empire Beauty School-Indianapolis,46237-3249,46237,39.673,-86.0757
Lincoln College of Technology-Indianapolis,46268,46268,39.8682,-86.2123
Manchester University,46962,46962,40.9986,-85.7842
Marian University,46222-1997,46222,39.789,-86.2136
Indiana Wesleyan University-Marion,46953-4974,46953,40.5359,-85.6616
Martin University,46218-0567,46218,39.8082,-86.1014
Masters of Cosmetology College,46809-1305,46809,41.0254,-85.1834
Anabaptist Mennonite Biblical Seminary,46517-1999,46517,41.6469,-85.9728
Merrillville Beauty College,46410,46410,41.4957,-87.3509
Brown Mackie College-South Bend,46635,46635,41.7168,-86.2078
Mid-America College of Funeral Service,47130,47130,38.3078,-85.7359
West Michigan College of Barbering and Beauty,49008,49008,42.2624,-85.6096
University of Notre Dame,46556,46556,41.7002,-86.2379
Oakland City University,47660-1099,47660,38.3361,-87.3519
PJ's College of Cosmetology-Richmond,47374,47374,39.8324,-84.8936
Kaplan College-Indianapolis,46278-1736,46278,39.8726,-86.2768
Purdue University-Calumet Campus,46323-2094,46323,41.5878,-87.4532
Purdue University-North Central Campus,46391-9542,46391,41.5365,-86.9013
Ravenscroft Beauty College,46835,46835,41.1371,-85.0685
Rogers Academy of Hair Design,47708,47708,37.9718,-87.572
Rose-Hulman Institute of Technology,47803-3920,47803,39.4657,-87.354
Rudae's School of Beauty Culture-Kokomo,46901-4516,46901,40.4988,-86.1453
University of Saint Francis-Fort Wayne,46808-3994,46808,41.0939,-85.1621
Saint Josephs College,47978-0870,47978,40.9948,-87.1037
Saint Mary-of-the-Woods College,47876-1099,47876,39.5109,-87.4672
Saint Mary's College,46556,46556,41.7002,-86.2379
Brightwood College-Hammond,46324,46324,41.584,-87.5034
Kaplan College-Merrillville,46410,46410,41.4957,-87.3509
Saint Meinrad School of Theology,47577,47577,38.1712,-86.8092
Saint Elizabeth School of Nursing,47904-9988,47904,40.4276,-86.8735
Taylor University,46989-1001,46989,40.4548,-85.499
Trine University,46703-1764,46703,41.6563,-85.0198
Valparaiso University,46383,46383,41.4547,-87.0656
Vincennes Beauty College,47591,47591,38.6734,-87.5098
Vincennes University,47591,47591,38.6734,-87.5098
Wabash College,47933-0352,47933,40.0325,-86.9074
Allen College,50703-1999,50703,42.5149,-92.3269
AIB College of Business,50321-1799,50321,41.5476,-93.6618
Briar Cliff University,51104,51104,42.5254,-96.4005
Buena Vista University,50588,50588,42.6474,-95.1961
Daytons School of Hair Design,52601,52601,40.8087,-91.117
Capri College-Dubuque,52004-0873,52004,42.5006,-90.6646
Capri College-Cedar Rapids,52404,52404,41.9521,-91.6853
American College of Hairstyling-Cedar Rapids,52402,52402,42.0188,-91.6612
Central College,50219,50219,41.4082,-92.9172
Clarke University,52001-3198,52001,42.515,-90.6819
Coe College,52402-5092,52402,42.0188,-91.6612
Cornell College,52314-1098,52314,41.9287,-91.4274
Iowa School of Beauty-Marshalltown,50158,50158,42.0405,-92.9127
Des Moines Area Community College,50023-3993,50023,41.7194,-93.6266
Divine Word College,52045,52045,42.4439,-90.9313
Dordt University,51250-1606,51250,43.0814,-96.18
Drake University,50311-4505,50311,41.601,-93.6729
University of Dubuque,52001,52001,42.515,-90.6819
Ellsworth Community College,50126,50126,42.5138,-93.2709
Emmaus Bible College,52001-3096,52001,42.515,-90.6819
Eastern Iowa Community College District,52801-1221,52801,41.5208,-90.5745
Faith Baptist Bible College and Theological Seminary,50023-2152,50023,41.7194,-93.6266
Faust Institute of Cosmetology-Storm Lake,50588,50588,42.6474,-95.1961
Graceland University-Lamoni,50140,50140,40.6229,-93.9349
Grand View University,50316,50316,41.6092,-93.6
Grinnell College,50112-1690,50112,41.7421,-92.7344
Purdue University Global-Mason City,50401,50401,43.1499,-93.1954
Purdue University Global-Cedar Rapids,52404,52404,41.9521,-91.6853
Orion Technical College,52807,52807,41.5618,-90.5403
Hawkeye Community College,50701,50701,42.4778,-92.3661
American Hair Academy,52641,52641,40.9646,-91.5614
Indian Hills Community College,52501,52501,41.0309,-92.4098
Iowa Central Community College,50501,50501,42.5088,-94.1807
Iowa Lakes Community College,51334-2295,51334,43.4017,-94.818
UnityPoint Health-Des Moines School of Radiologic Technology,50309-1453,50309,41.5887,-93.6212
American College of Hairstyling-Des Moines,50309,50309,41.5887,-93.6212
Iowa School of Beauty-Des Moines,50322-3203,50322,41.6295,-93.723
Iowa State University,50011-2103,50011,42.036,-93.4652
Iowa Wesleyan University,52641,52641,40.9646,-91.5614
Iowa Western Community College,51503-1057,51503,41.2616,-95.8251
University of Iowa,52242-1316,52242,41.6627,-91.5477
Kirkwood Community College,52406-2068,52406,42.0083,-91.6441
La James International College-Cedar Falls,50613,50613,42.5241,-92.4497
La James International College-Johnston,50131,50131,41.673,-93.7028
La James College of Hairstyling and Cosmetology,50401-3308,50401,43.1499,-93.1954
La James International College-Ft Dodge,50501,50501,42.5088,-94.1807
Loras College,52004-0178,52004,42.5006,-90.6646
Luther College,52101-1045,52101,43.3227,-91.7939
Maharishi International University,52557,52557,41.0166,-91.9682
Marshalltown Community College,50158,50158,42.0405,-92.9127
Mercy College of Health Sciences,50309-1239,50309,41.5887,-93.6212
Morningside University,51106-1751,51106,42.4671,-96.3528
Mount Mercy University,52402-4797,52402,42.0188,-91.6612
Ashford University,92123,92123,32.7973,-117.1392
North Iowa Area Community College,50401,50401,43.1499,-93.1954
University of Northern Iowa,50614-0005,50614,42.4698,-92.3095
Northwestern College,51041,51041,43.0185,-96.0565
Northeast Iowa Community College,52132-0400,52132,43.1974,-91.9126
Northwest Iowa Community College,51201,51201,43.1808,-95.8401
Des Moines University-Osteopathic Medical Center,50266,50266,41.5695,-93.7994
Iowa School of Beauty-Ottumwa,52501,52501,41.0309,-92.4098
Palmer College of Chiropractic,52803-5287,52803,41.5385,-90.5613
PCI Academy-Ames,50010,50010,42.0379,-93.6003
Saint Ambrose University,52803-2898,52803,41.5385,-90.5613
St Luke's College,51104-0263,51104,42.5254,-96.4005
La James International College-Davenport,52806,52806,41.5733,-90.6038
La James International College-Iowa City,52245,52245,41.6649,-91.5151
Simpson College,50125,50125,41.3143,-93.588
Southeastern Community College,52655-0180,52655,40.8321,-91.1799
Southwestern Community College,50801,50801,41.0499,-94.3471
Capri College-Davenport,52807-3003,52807,41.5618,-90.5403
Iowa School of Beauty-Sioux City,51106,51106,42.4671,-96.3528
SOHO Hair Academy,51501,51501,41.2324,-95.8751
Dayton School of Hair Design,52632,52632,40.4094,-91.3982
Upper Iowa University,52142-1857,52142,42.8494,-91.8139
Vennard College,52595-0029,52595,41.2864,-92.6184
Waldorf University,50436-1713,50436,43.2692,-93.6356
Wartburg College,50677-0903,50677,42.7748,-92.404
Wartburg Theological Seminary,52003-7769,52003,42.4649,-90.6829
The Salon Professional Academy-Cedar Falls,50613,50613,42.5241,-92.4497
Western Iowa Tech Community College,51102-5199,51102,42.3684,-96.318
William Penn University,52577,52577,41.2942,-92.6439
Academy of Hair Design Inc,67401,67401,38.8237,-97.6421
Allen County Community College,66749,66749,37.9245,-95.4
AIB International,66502,66502,39.1938,-96.5858
Baker University,66006-0065,66006,38.7953,-95.2276
Barton County Community College,67530,67530,38.3936,-98.7751
Benedictine College,66002-1499,66002,39.5594,-95.1304
Bethany College,67456-1897,67456,38.5761,-97.6739
Bethel College-North Newton,67117-1716,67117,38.0743,-97.3473
Brown Mackie College-Kansas City,66215,66215,38.9536,-94.7336
Brown Mackie College-Salina,67401-7307,67401,38.8237,-97.6421
Bryan University,66604,66604,39.0405,-95.7178
Butler Community College,67042-3280,67042,37.8226,-96.8543
Cutting Edge Hairstyling Academy,66102,66102,39.1132,-94.6693
Central Baptist Theological Seminary,66226-3513,66226,39.0417,-94.7202
Central Christian College of Kansas,67460-5740,67460,38.3763,-97.6702
Cloud County Community College,66901-1002,66901,39.5516,-97.6568
Coffeyville Community College,67337-5064,67337,37.0441,-95.6328
Colby Community College,67701,67701,39.383,-101.0442
B Street Design School of International Hair Styling-Overland Park,66212,66212,38.9568,-94.6832
Cowley County Community College,67005,67005,37.0676,-97.0357
Marinello Schools of Beauty-Manhattan,66502,66502,39.1938,-96.5858
Dodge City Community College,67801-2399,67801,37.7569,-100.0241
Donnelly College,66102,66102,39.1132,-94.6693
Emporia State University,66801-5415,66801,38.4184,-96.1871
Flint Hills Technical College,66801-5957,66801,38.4184,-96.1871
Fort Hays State University,67601-4099,67601,38.8782,-99.3348
Barclay College,67059-0288,67059,37.6096,-99.134
Friends University,67213,67213,37.668,-97.3591
Fort Scott Community College,66701,66701,37.8216,-94.7148
Garden City Community College,67846-6333,67846,37.9769,-100.8621
Haskell Indian Nations University,66046-4800,66046,38.9369,-95.242
Hays Academy of Hair Design,67601,67601,38.8782,-99.3348
Hesston College,67062-2093,67062,38.136,-97.4495
Highland Community College,66035-4165,66035,39.8608,-95.2583
Hutchinson Community College,67501,67501,38.055,-97.9311
Independence Community College,67301-0708,67301,37.2292,-95.7165
Johnson County Community College,66210-1299,66210,38.9273,-94.7143
Kansas City Kansas Community College Technical Education Center,66104-2821,66104,39.1375,-94.6792
Concorde Career College-Kansas City,64114,64114,38.9621,-94.5959
Kansas City Kansas Community College,66112,66112,39.116,-94.764
University of Kansas,66045,66045,38.959,-95.2499
Newman University,67213-2097,67213,37.668,-97.3591
Old Town Barber College-Wichita,67211-1605,67211,37.6662,-97.3165
Kansas State University,66506,66506,39.196,-96.5839
Kansas Wesleyan University,67401-6146,67401,38.8237,-97.6421
Washburn Institute of Technology,66604,66604,39.0405,-95.7178
La Baron Hairdressing Academy-Overland Park,66204,66204,38.9928,-94.6771
Labette Community College,67357-4201,67357,37.3389,-95.2693
Southwest Kansas Technical School,67901-1599,67901,37.0438,-100.9286
Manhattan Area Technical College,66503-2499,66503,39.2458,-96.6336
Manhattan Christian College,66502-4801,66502,39.1938,-96.5858
McPherson College,67460-1402,67460,38.3763,-97.6702
MidAmerica Nazarene University,66062-1899,66062,38.8733,-94.7752
Neosho County Community College,66720,66720,37.6749,-95.457
North Central Kansas Technical College,67420,67420,39.4416,-98.1192
Northeast Kansas Technical Center,66002,66002,39.5594,-95.1304
Northwest Kansas Technical College,67735,67735,39.3491,-101.7164
Ottawa University-Ottawa,66067-3399,66067,38.6142,-95.2745
Ottawa University-Kansas City,66211,66211,38.9667,-94.6169
Pittsburg State University,66762,66762,37.3951,-94.7105
Pratt Community College,67124,67124,37.6502,-98.73
University of Saint Mary,66048-5082,66048,39.3015,-94.9339
Salina Area Technical College,67401,67401,38.8237,-97.6421
Seward County Community College,67901,67901,37.0438,-100.9286
Sidneys Hair Dressing College,67501,67501,38.055,-97.9311
Coffeyville Community College,67337-5064,67337,37.0441,-95.6328
Southwestern College,67156-2499,67156,37.2416,-96.98
Sterling College,67579,67579,38.2126,-98.2055
Tabor College,67063-1799,67063,38.3449,-97.2122
Washburn University,66621,66621,39.0333,-95.7015
Wichita State University-Campus of Applied Sciences and Technology,67226,67226,37.7379,-97.2479
Wichita State University,67260-0124,67260,37.7194,-97.2936
Wichita Technical Institute,67213-1927,67213,37.668,-97.3591
Alice Lloyd College,41844,41844,37.3491,-82.8742
Asbury University,40390-1198,40390,37.8602,-84.6714
Asbury Theological Seminary,40390-1199,40390,37.8602,-84.6714
Ashland Community and Technical College,41101-3683,41101,38.4722,-82.6461
Barrett and Company School of Hair Design,40356-2152,40356,37.8808,-84.5646
Bellarmine University,40205-0671,40205,38.2222,-85.6885
Berea College,40404-2182,40404,37.5687,-84.2963
PJ's College of Cosmetology-Bowling Green,42101,42101,37.0174,-86.4518
Southcentral Kentucky Community and Technical College,42101-3601,42101,37.0174,-86.4518
Brescia University,42301-3023,42301,37.7513,-87.1554
Campbellsville University,42718-2799,42718,37.3466,-85.3508
Bluegrass Community and Technical College,40506,40506,38.0287,-84.5075
Centre College,40422-1394,40422,37.6465,-84.7747
Clear Creek Baptist Bible College,40977-9752,40977,36.7159,-83.7668
Paul Mitchell the School-Lexington,40514,40514,37.9833,-84.5767
Collins School of Cosmetology,40965,40965,36.6172,-83.7231
Galen College of Nursing-Louisville,40245,40245,38.2683,-85.4845
University of the Cumberlands,40769,40769,36.747,-84.1394
Elizabethtown Beauty School,42701-1038,42701,37.6848,-85.8784
Eastern Kentucky University,40475-3102,40475,37.7546,-84.2955
Elizabethtown Community and Technical College,42701-3081,42701,37.6848,-85.8784
Ezell's Cosmetology School,42071-2530,42071,36.6099,-88.3032
Frontier Nursing University,40383,40383,38.0413,-84.7287
Georgetown College,40324-1696,40324,38.2117,-84.5562
PJ's College of Cosmetology-Glasgow,42141,42141,36.9882,-85.9221
Hazard Community and Technical College,41701-2402,41701,37.2983,-83.1912
Paul Mitchell the School-Louisville,40222,40222,38.2674,-85.6237
Henderson Community College,42420-4699,42420,37.8274,-87.5632
Hopkinsville Community College,42240,42240,36.8621,-87.4851
Daymar College-Paducah Main,42001-8252,42001,37.0634,-88.6632
Jefferson Community and Technical College,40202,40202,38.2507,-85.7476
Jenny Lea Academy of Cosmetology,40831,40831,36.7596,-83.3499
Summit Salon Academy-Lexington,40505,40505,38.0612,-84.4583
American National University-Pikeville,41501-1520,41501,37.5161,-82.5173
Kentucky Mountain Bible College,41339,41339,37.4868,-83.2913
Kentucky State University,40601-2355,40601,38.2281,-84.8697
Kentucky Wesleyan College,42301,42301,37.7513,-87.1554
University of Kentucky,40506-0032,40506,38.0287,-84.5075
Kentucky Christian University,41143-1199,41143,38.3326,-82.9485
Lexington Beauty College,40503,40503,38.001,-84.5282
Lexington Theological Seminary,40503,40503,38.001,-84.5282
Lindsey Wilson College,42728-1223,42728,37.1161,-85.2656
Sullivan College of Technology and Design,40218,40218,38.189,-85.654
University of Louisville,40292-0001,40292,38.189,-85.6768
Louisville Presbyterian Theological Seminary,40205-1798,40205,38.2222,-85.6885
Madisonville Community College,42431,42431,37.3256,-87.4953
Maysville Community and Technical College,41056,41056,38.6207,-83.8067
Mid-Continent University,42066-9007,42066,36.7327,-88.6506
Midway University,40347-1120,40347,38.1487,-84.6928
Morehead State University,40351,40351,38.199,-83.4436
Mr Jim's College of Cosmetology,42301,42301,37.7513,-87.1554
Murray State University,42071-3318,42071,36.6099,-88.3032
Gateway Community and Technical College,41042,41042,38.9941,-84.642
Northern Kentucky University,41099,41099,38.9638,-84.3689
Nutek Academy of Beauty Inc,40353,40353,38.0548,-83.9388
Daymar College-Owensboro,42301,42301,37.7513,-87.1554
West Kentucky Community and Technical College,42001,42001,37.0634,-88.6632
Pat Wilson's Beauty College,42420,42420,37.8274,-87.5632
University of Pikeville,41501,41501,37.5161,-82.5173
Big Sandy Community and Technical College,41653,41653,37.661,-82.7636
Brown Mackie College-Louisville,40219,40219,38.1381,-85.6953
Empire Beauty School-Chenoweth,40207,40207,38.2628,-85.6663
Saint Catharine College,40061,40061,37.774,-85.2011
Empire Beauty School-Elizabethtown,42701,42701,37.6848,-85.8784
Empire Beauty School-Dixie,40216,40216,38.1865,-85.8335
Empire Beauty School-Florence,41042,41042,38.9941,-84.642
Brown Mackie College-Northern Kentucky,41017,41017,39.03,-84.559
Somerset Community College,42501-2973,42501,37.1029,-84.5443
Southeast Kentucky Community & Technical College,40823,40823,36.9711,-82.9771
The Southern Baptist Theological Seminary,40280-0001,40280,38.2467,-85.6853
Spalding University,40203-2188,40203,38.2493,-85.7694
Spencerian College-Louisville,40216,40216,38.1865,-85.8335
Sullivan University,40205,40205,38.2222,-85.6885
Thomas More University,41017-3495,41017,39.03,-84.559
Transylvania University,40508-1797,40508,38.0513,-84.499
Trend Setters' Academy of Beauty Culture-Louisville,40258,40258,38.1457,-85.8641
Union College,40906-1499,40906,36.8665,-83.8888
Western Kentucky University,42101-1000,42101,37.0174,-86.4518
Alexandria Academy of Beauty Culture,71301-5730,71301,31.2885,-92.4633
Central Louisiana Technical Community College,71301,71301,31.2885,-92.4633
American School of Business,71105-5646,71105,32.4589,-93.7143
Louisiana Technical College-Ascension Campus,70778-3007,70778,30.1854,-90.8631
Central Louisiana Technical College-Ward H Nash-Avoyelles Campus,71327,71327,30.9862,-92.0581
Ayers Career College,71118,71118,32.3977,-93.8025
Bastrop Beauty School Inc,71220,71220,32.7894,-91.9078
Louisiana Technical College-Bastrop Campus,71221-1120,71221,32.7562,-91.8723
Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology,70806,70806,30.4485,-91.13
Baton Rouge General Medical Center-School of Radiologic Technology,70806,70806,30.4485,-91.13
Baton Rouge School of Computers,70809,70809,30.4089,-91.0842
Capital Area Technical College,70805,70805,30.486,-91.1481
Bossier Parish Community College,71111-6922,71111,32.5449,-93.7038
Cameron College,70119,70119,29.9746,-90.0852
Centenary College of Louisiana,71104,71104,32.483,-93.7349
Cloyd's Beauty School 1 Inc,71291-0603,71291,32.5317,-92.176
Louisiana Technical College-Shelby Jackson Campus,71334-1465,71334,31.6602,-91.5502
Crescent City Bartending School,70119,70119,29.9746,-90.0852
D'Jay's Institute of Cosmetology and Esthiology,70815,70815,30.4558,-91.0596
Delgado Community College,70119,70119,29.9746,-90.0852
Delta School of Business and Technology,70601,70601,30.2285,-93.188
Northeast Louisiana Technical College,71292-9064,71292,32.4566,-92.1854
Avery James College,70601,70601,30.2285,-93.188
Denham Springs Beauty School,70726,70726,30.459,-90.9027
Dillard University,70122,70122,30.0056,-90.0644
Nunez Community College,70043,70043,29.9466,-89.9611
Louisiana Technical College-Evangeline Campus,70582,70582,30.2237,-91.7794
Northshore Technical College-Florida Parishes Branch Campus,70441-0000,70441,30.8647,-90.7256
Capital Area Technical College-Folkes Campus,70748,70748,30.8087,-91.1987
Grambling State University,71245,71245,32.5244,-92.7158
Acadiana Technical College-Gulf Area Campus,70510,70510,29.9466,-92.2416
Belbo Beauty Institute,71105,71105,32.4589,-93.7143
Northshore Technical College-Hammond Area Branch Campus,70401,70401,30.5191,-90.4879
Louisiana Technical College-Huey P Long Campus,71483,71483,31.9214,-92.6366
ITI Technical College,70817,70817,30.3904,-91.0021
Central Louisiana Technical College-Morgan Smith Campus,70546,70546,30.2201,-92.6574
Louisiana Technical College-Jefferson Campus,70001-5605,70001,29.9871,-90.1695
Louisiana Technical College-West Jefferson Campus,70058,70058,29.8725,-90.0673
John Jay Beauty College,70062,70062,29.9912,-90.2479
Louisiana State University Health Sciences Center-New Orleans,70112-2223,70112,29.9605,-90.0753
Louisiana State University-Alexandria,71302-9121,71302,31.2683,-92.4242
Louisiana State University and Agricultural & Mechanical College,70803-2750,70803,30.405,-91.1868
Louisiana State University-Eunice,70535,70535,30.5116,-92.3985
Louisiana State University-Shreveport,71115-2399,71115,32.3401,-93.6092
Acadiana Technical College-Lafayette Campus,70506-4909,70506,30.2077,-92.0656
Aveda Arts & Sciences Institute-Baton Rouge,70816-2246,70816,30.4273,-91.0356
Aveda Arts & Sciences Institute-Lafayette,70503-3246,70503,30.1843,-92.0497
Louisiana Academy of Beauty,70535,70535,30.5116,-92.3985
Louisiana Christian University,71359,71359,31.3224,-92.4343
Opelousas School of Cosmetology,70570,70570,30.5144,-92.0897
Louisiana Tech University,71272,71272,32.5258,-92.6493
Loyola University New Orleans,70118-6143,70118,29.9504,-90.1236
NW Louisiana Technical College-Mansfield Campus,71052,71052,32.0239,-93.698
McNeese State University,70605,70605,30.1693,-93.2218
Northwest Louisiana Technical College-Natchitoches Campus,71458-0657,71458,31.7476,-93.0791
University of New Orleans,70148,70148,30.0309,-90.068
New Orleans Baptist Theological Seminary,70126,70126,29.9987,-90.0446
Nicholls State University,70310,70310,29.8033,-90.8169
